time,amplitude
0,0.003
1,0.002
2,0.003
3,0.007
4,0.013
5,0.019
6,0.025
7,0.028
8,0.027
9,0.021
10,0.013
11,0.002
12,-0.008
13,-0.018
14,-0.026
15,-0.033
16,-0.04
17,-0.048
18,-0.056
19,-0.065
20,-0.073
21,-0.078
22,-0.081
23,-0.081
24,-0.079
25,-0.076
26,-0.075
27,-0.075
28,-0.078
29,-0.082
30,-0.087
31,-0.091
32,-0.094
33,-0.094
34,-0.092
35,-0.088
36,-0.085
37,-0.084
38,-0.085
39,-0.088
40,-0.091
41,-0.094
42,-0.095
43,-0.093
44,-0.089
45,-0.083
46,-0.078
47,-0.075
48,-0.075
49,-0.08
50,-0.089
51,-0.101
52,-0.113
53,-0.123
54,-0.13
55,-0.13
56,-0.122
57,-0.102
58,-0.069
59,-0.019
60,0.048
61,0.133
62,0.232
63,0.34
64,0.448
65,0.547
66,0.627
67,0.683
68,0.708
69,0.698
70,0.649
71,0.558
72,0.429
73,0.271
74,0.097
75,-0.074
76,-0.222
77,-0.334
78,-0.404
79,-0.434
80,-0.435
81,-0.416
82,-0.389
83,-0.361
84,-0.335
85,-0.313
86,-0.294
87,-0.277
88,-0.261
89,-0.244
90,-0.224
91,-0.202
92,-0.176
93,-0.149
94,-0.122
95,-0.099
96,-0.083
97,-0.075
98,-0.075
99,-0.079
100,-0.084
101,-0.088
102,-0.088
103,-0.084
104,-0.076
105,-0.066
106,-0.057
107,-0.051
108,-0.047
109,-0.047
110,-0.049
111,-0.051
112,-0.052
113,-0.05
114,-0.047
115,-0.042
116,-0.037
117,-0.032
118,-0.03
119,-0.031
120,-0.033
121,-0.035
122,-0.035
123,-0.033
124,-0.03
125,-0.025
126,-0.021
127,-0.018
128,-0.018
129,-0.019
130,-0.022
131,-0.024
132,-0.025
133,-0.025
134,-0.022
135,-0.019
136,-0.014
137,-0.01
138,-0.006
139,-0.003
140,-0.001
141,0.002
142,0.003
143,0.005
144,0.006
145,0.007
146,0.008
147,0.009
148,0.009
149,0.011
150,0.012
151,0.014
152,0.016
153,0.018
154,0.02
155,0.022
156,0.024
157,0.027
158,0.03
159,0.033
160,0.036
161,0.039
162,0.042
163,0.044
164,0.048
165,0.052
166,0.057
167,0.063
168,0.07
169,0.078
170,0.084
171,0.09
172,0.096
173,0.101
174,0.106
175,0.111
176,0.117
177,0.123
178,0.131
179,0.139
180,0.147
181,0.156
182,0.165
183,0.173
184,0.181
185,0.189
186,0.197
187,0.204
188,0.211
189,0.218
190,0.225
191,0.231
192,0.237
193,0.242
194,0.248
195,0.253
196,0.257
197,0.26
198,0.261
199,0.26
200,0.258
201,0.256
202,0.253
203,0.25
204,0.248
205,0.244
206,0.238
207,0.23
208,0.22
209,0.208
210,0.194
211,0.18
212,0.166
213,0.152
214,0.138
215,0.123
216,0.108
217,0.094
218,0.081
219,0.068
220,0.057
221,0.046
222,0.036
223,0.027
224,0.017
225,0.009
226,0.001
227,-0.006
228,-0.012
229,-0.017
230,-0.02
231,-0.024
232,-0.027
233,-0.031
234,-0.034
235,-0.037
236,-0.039
237,-0.041
238,-0.044
239,-0.046
240,-0.048
241,-0.051
242,-0.053
243,-0.055
244,-0.055
245,-0.055
246,-0.055
247,-0.054
248,-0.052
249,-0.051
250,-0.049
251,-0.047
252,-0.047
253,-0.047
254,-0.048
255,-0.05
256,-0.051
257,-0.052
258,-0.052
259,-0.051
260,-0.049
261,-0.047
262,-0.047
263,-0.048
264,-0.05
265,-0.053
266,-0.055
267,-0.055
268,-0.054
269,-0.053
270,-0.051
271,-0.05
272,-0.049
273,-0.049
274,-0.048
275,-0.048
276,-0.048
277,-0.048
278,-0.049
279,-0.05
280,-0.051
281,-0.051
282,-0.051
283,-0.051
284,-0.05
285,-0.05
286,-0.05
287,-0.05
288,-0.049
289,-0.049
290,-0.048
291,-0.048
292,-0.048
293,-0.047
294,-0.047
295,-0.047
296,-0.048
297,-0.049
298,-0.051
299,-0.054
300,-0.057
301,-0.06
302,-0.061
303,-0.061
304,-0.06
305,-0.058
306,-0.056
307,-0.055
308,-0.055
309,-0.056
310,-0.057
311,-0.057
312,-0.057
313,-0.057
314,-0.056
315,-0.055
316,-0.055
317,-0.056
318,-0.058
319,-0.059
320,-0.06
321,-0.061
322,-0.06
323,-0.059
324,-0.057
325,-0.056
326,-0.054
327,-0.054
328,-0.054
329,-0.055
330,-0.057
331,-0.059
332,-0.06
333,-0.061
334,-0.062
335,-0.061
336,-0.06
337,-0.059
338,-0.057
339,-0.055
340,-0.054
341,-0.055
342,-0.056
343,-0.059
344,-0.062
345,-0.064
346,-0.066
347,-0.065
348,-0.064
349,-0.061
350,-0.059
351,-0.057
352,-0.056
353,-0.056
354,-0.057
355,-0.057
356,-0.057
357,-0.055
358,-0.052
359,-0.048
360,-0.044
361,-0.039
362,-0.035
363,-0.033
364,-0.032
365,-0.032
366,-0.033
367,-0.034
368,-0.034
369,-0.033
370,-0.031
371,-0.026
372,-0.02
373,-0.013
374,-0.006
375,0.001
376,0.006
377,0.01
378,0.011
379,0.012
380,0.013
381,0.014
382,0.018
383,0.024
384,0.031
385,0.037
386,0.042
387,0.043
388,0.04
389,0.035
390,0.027
391,0.017
392,0.008
393,-0.002
394,-0.011
395,-0.019
396,-0.028
397,-0.036
398,-0.044
399,-0.051
400,-0.058
401,-0.064
402,-0.069
403,-0.072
404,-0.074
405,-0.074
406,-0.073
407,-0.071
408,-0.069
409,-0.069
410,-0.071
411,-0.074
412,-0.078
413,-0.081
414,-0.082
415,-0.081
416,-0.078
417,-0.076
418,-0.075
419,-0.076
420,-0.08
421,-0.084
422,-0.087
423,-0.088
424,-0.086
425,-0.081
426,-0.075
427,-0.071
428,-0.069
429,-0.072
430,-0.079
431,-0.09
432,-0.103
433,-0.116
434,-0.125
435,-0.129
436,-0.125
437,-0.112
438,-0.088
439,-0.05
440,0.003
441,0.074
442,0.162
443,0.264
444,0.374
445,0.484
446,0.582
447,0.662
448,0.717
449,0.74
450,0.726
451,0.671
452,0.572
453,0.433
454,0.263
455,0.079
456,-0.1
457,-0.253
458,-0.368
459,-0.438
460,-0.466
461,-0.464
462,-0.442
463,-0.411
464,-0.38
465,-0.351
466,-0.327
467,-0.307
468,-0.29
469,-0.273
470,-0.255
471,-0.233
472,-0.207
473,-0.178
474,-0.146
475,-0.117
476,-0.092
477,-0.075
478,-0.067
479,-0.067
480,-0.071
481,-0.076
482,-0.079
483,-0.079
484,-0.076
485,-0.068
486,-0.059
487,-0.051
488,-0.044
489,-0.039
490,-0.038
491,-0.038
492,-0.039
493,-0.039
494,-0.037
495,-0.033
496,-0.028
497,-0.025
498,-0.023
499,-0.025
500,-0.029
501,-0.033
502,-0.036
503,-0.037
504,-0.034
505,-0.029
506,-0.023
507,-0.018
508,-0.014
509,-0.013
510,-0.013
511,-0.015
512,-0.016
513,-0.016
514,-0.014
515,-0.011
516,-0.007
517,-0.003
518,0
519,0.001
520,0.002
521,0.001
522,0
523,0
524,0.001
525,0.002
526,0.005
527,0.009
528,0.012
529,0.016
530,0.019
531,0.022
532,0.024
533,0.026
534,0.028
535,0.031
536,0.034
537,0.037
538,0.041
539,0.045
540,0.049
541,0.053
542,0.057
543,0.06
544,0.062
545,0.063
546,0.064
547,0.066
548,0.07
549,0.075
550,0.082
551,0.089
552,0.097
553,0.104
554,0.111
555,0.119
556,0.128
557,0.136
558,0.145
559,0.153
560,0.16
561,0.166
562,0.171
563,0.176
564,0.182
565,0.188
566,0.194
567,0.201
