time,amplitude
0,-0.060
1,-0.040
2,-0.025
3,-0.015
4,-0.010
5,-0.015
6,-0.020
7,-0.030
8,-0.040
9,-0.045
10,-0.050
11,-0.045
12,-0.040
13,-0.035
14,-0.025
15,-0.015
16,-0.010
17,-0.005
18,-0.005
19,-0.010
20,-0.015
21,-0.025
22,-0.030
23,-0.040
24,-0.045
25,-0.045
26,-0.045
27,-0.040
28,-0.035
29,-0.030
30,-0.020
31,-0.015
32,-0.015
33,-0.015
34,-0.015
35,-0.020
36,-0.030
37,-0.035
38,-0.040
39,-0.040
40,-0.040
41,-0.035
42,-0.035
43,-0.030
44,-0.030
45,-0.030
46,-0.030
47,-0.035
48,-0.040
49,-0.045
50,-0.045
51,-0.045
52,-0.045
53,-0.040
54,-0.030
55,-0.025
56,-0.020
57,-0.020
58,-0.020
59,-0.025
60,-0.030
61,-0.040
62,-0.050
63,-0.055
64,-0.060
65,-0.060
66,-0.060
67,-0.055
68,-0.045
69,-0.040
70,-0.035
71,-0.030
72,-0.025
73,-0.025
74,-0.025
75,-0.025
76,-0.025
77,-0.025
78,-0.025
79,-0.020
80,-0.020
81,-0.015
82,-0.015
83,-0.015
84,-0.015
85,-0.015
86,-0.015
87,-0.010
88,-0.010
89,-0.005
90,0.000
91,0.005
92,0.005
93,0.005
94,0.010
95,0.010
96,0.010
97,0.010
98,0.015
99,0.020
100,0.030
101,0.035
102,0.035
103,0.040
104,0.035
105,0.025
106,0.015
107,0.000
108,-0.010
109,-0.020
110,-0.030
111,-0.030
112,-0.030
113,-0.030
114,-0.025
115,-0.025
116,-0.025
117,-0.030
118,-0.035
119,-0.040
120,-0.045
121,-0.050
122,-0.055
123,-0.060
124,-0.060
125,-0.060
126,-0.060
127,-0.065
128,-0.065
129,-0.065
130,-0.070
131,-0.075
132,-0.075
133,-0.075
134,-0.075
135,-0.070
136,-0.065
137,-0.055
138,-0.050
139,-0.045
140,-0.045
141,-0.045
142,-0.050
143,-0.055
144,-0.065
145,-0.070
146,-0.080
147,-0.080
148,-0.085
149,-0.085
150,-0.080
151,-0.075
152,-0.070
153,-0.065
154,-0.065
155,-0.070
156,-0.075
157,-0.085
158,-0.095
159,-0.105
160,-0.115
161,-0.115
162,-0.110
163,-0.095
164,-0.070
165,-0.030
166,0.020
167,0.085
168,0.160
169,0.245
170,0.335
171,0.425
172,0.515
173,0.590
174,0.655
175,0.690
176,0.695
177,0.670
178,0.610
179,0.520
180,0.405
181,0.280
182,0.150
183,0.030
184,-0.070
185,-0.145
186,-0.185
187,-0.200
188,-0.190
189,-0.165
190,-0.130
191,-0.095
192,-0.065
193,-0.045
194,-0.035
195,-0.030
196,-0.030
197,-0.035
198,-0.040
199,-0.040
200,-0.040
201,-0.040
202,-0.035
203,-0.035
204,-0.030
205,-0.025
206,-0.025
207,-0.025
208,-0.025
209,-0.025
210,-0.030
211,-0.035
212,-0.040
213,-0.045
214,-0.050
215,-0.055
216,-0.055
217,-0.050
218,-0.050
219,-0.040
220,-0.035
221,-0.030
